Blues
6:Jarrad Hoeata
7:Luke Braid
8:Sione Lauaki
9:Brendon Leonard
10:Mike Delany
11:Dwayne Sweeney
12:Callum Bruce
13:Richard Kahui
14:Jackson Willison
15:Tim Nanai-Williams
16:Aled de Malmanche
17:Ben Afeaki
18:James McGougan
19:Kevin O’Neill
20:Romana Graham
21:Liam Messam
22:Junior Poluleuligaga
