Bulls
1:Gurthro Steenkamp
8:Ryan Kankowski
9:Rory Kockott
10:Ruan Pienaar
11:JP Pietersen
12:Franscois Steyn
13:Adrian Jacobs
14:Odwa Ndungane
15:Stefan Terblanche
16:Bismarck du Plessis
17:Melusi Mthethwa
18:Alistair Hargreaves
19:Jaques Botes
20:Ross Cronje
21:Riaan Swanepoel
22:Luzuko Vulindlu
